"Export time: 8/6/2022, 7:23:19 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","268","2 Pack Blue Drop-shaped Cosmetic Sponge Egg With Revolutionary Foam Technology You Can Use Damp or Dry for a Smooth Finished LookFlawless for Foundations Liquid Creams and Powder","JHCome","$4.60","51","1","$235","11/02/2019","$0.69","485","4.1","$3.91","189445","Beauty & Personal Care","B07T65NGRB","https://www.amazon.com/dp/B07T65NGRB"
"","","269","SEENICE Biodegradable Material Beauty Spongs for Liquid and Cream Foundation Wet and Dry Beauty Blender Spongs Set of 2","SEENICE","$6.99","...","...","...","05/19/2022","$2.89","1","5","$4.10","250791","...","B09BNDPXBL","https://www.amazon.com/dp/B09BNDPXBL"
"","","270","19 Pcs Cosmetic Makeup Puff Set Includes 10 Triangle Cotton Powder Puff Make up Puff Pads 5 Air Cushion Makeup Sponges Cushion Foundation Puff 4 Finger Makeup Sponges Cosmetic Finger Puff for Women","Potchen","$9.99","...","...","...","04/21/2022","$6.27","8","4.8","$3.72","148602","...","B09WV3KGGP","https://www.amazon.com/dp/B09WV3KGGP"
"","","271","BTYMS 10 Pieces Makeup Sponge Blenders Beauty Sponges Egg Shaped Blending Sponge Foundation Applicator Cosmetic Sponges","BTYMS","$7.99","462","15","$3691","08/15/2019","$3.81","3322","4.6","$4.18","33520","Beauty & Personal Care","B07RWGLBHD","https://www.amazon.com/dp/B07RWGLBHD"
"","","272","Foundation Powder Puff Cosmetic Sponges Mushroom Makeup Brushes Blender Sponge Face Brush Makeup Puff with Handle Case for Dry Wet Use Liquid Creams and Powders (Rose)","DADIWEY","$4.98","30","1","$149","06/17/2020","$1.66","85","3.5","$3.32","115598","Beauty & Personal Care","B0883BDGBW","https://www.amazon.com/dp/B0883BDGBW"
"","","273","UorPoto Eyeshadow Applicators Sponge tip Double Sided Reusable 10Pcs Professional Round Foam Makeup Eyeshadow Brush Applicator Set Washable","UorPoto","$6.99","...","...","...","06/14/2022","$3.51","12","4.1","$3.48","44930","...","B09TWTCBWZ","https://www.amazon.com/dp/B09TWTCBWZ"
"","","274","4 Colors Makeup Sponge Holder Beauty Blender Sponge Travel Case Sponge Makeup Egg Storage Box Silicone Protective Container for Cosmetic Sponge (Style 2)","Yitexin","$12.49","...","...","...","03/25/2022","$7.08","1","3","$5.41","236105","...","B09SWHDX5Y","https://www.amazon.com/dp/B09SWHDX5Y"
"","","275","3 Pieces Makeup Sponge Holder Beauty Sponge Silicone Carrying Case Sponge Makeup Egg Storage Box Powder Puff Protective Container for Makeup Sponge 3 Colors","Maitys","$16.99","129","4","$2192","12/25/2020","$10.9","116","4.6","$6.09","97017","Beauty & Personal Care","B08PVM5K71","https://www.amazon.com/dp/B08PVM5K71"
"","","276","20 Pcs Set Round Makeup Sponge Soft Facial Powder Puff Cosmetic Foundation Blender Powder Puff For Dry And Wet (white color)","Wresty","$8.99","...","...","...","01/12/2022","...","1","5","","229025","...","B09LYBNVDJ","https://www.amazon.com/dp/B09LYBNVDJ"
"","","277","120 Pieces Facial Sponge CompressedFace Wash SpongesMakeup Removal Cosmetic Sponges PadProfessional Exfoliating Round Sponge for CleansingSpaWomenGirls(Pink)","Anyumocz","$13.99","...","...","...","04/28/2022","$7.37","16","4.4","$6.62","125787","...","B09QY9ZD8L","https://www.amazon.com/dp/B09QY9ZD8L"
