"Export time: 8/7/2022, 3:02:41 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","52","Real Perfection 8pcs Makeup Brushes Pink Makeup Brush Set Powder Foundation Contour Blending Eyeshadow Brow Make-Up Brush Kit","Real Perfection","$9.99","733","10","$7323","09/17/2017","$6.27","307","4.6","$3.72","44407","Beauty & Personal Care","B089NJBCSF","https://www.amazon.com/Real-Perfection-Foundation-Blending-Eyeshadow/dp/B089NJBCSF/ref=sr_1_56?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-56"
"","","53","Makeup Brushes 24pcs Makeup Brush Set Kabuki Foundation Blending Brush Face Powder Blush Concealers Eye Shadows Make Up Brushes Kit with Bag","Real Perfection","$19.99","1592","63","$31824","09/17/2017","$11.85","2700","4.6","$8.14","8840","Beauty & Personal Care","B073VF45Z3","https://www.amazon.com/Brushes-Foundation-Blending-Concealers-Shadows/dp/B073VF45Z3/ref=sr_1_57?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-57"
"","","54","Makeup Brushes Set Yuwaku Premium Synthetic 14pcs Kabuki Make Up Brush Pink Foundation Powder Concealers Blush Eyeliner Eye Shadows Cosmetic Kit","Daxstar","","3929","146","$0","08/04/2019","$20.02","721","4.3","$4.07","3321","Beauty & Personal Care","B07SG217LK","https://www.amazon.com/Synthetic-Foundation-Concealers-Eyeliner-Cosmetic/dp/B07SG217LK/ref=sr_1_58?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-58"
"","","55","BEAKEY Makeup Brush Set Premium Synthetic Foundation Face Powder Blush Eyeshadow Kabuki Brush Kit Makeup Brushes with Makeup Sponge and Brush Cleaner (10+2pcs Black/Silver)","BEAKEY","$9.99","6064","142","$60579","08/04/2016","$5.65","51292","4.4","$4.34","3432","Beauty & Personal Care","B01F36JBDM","https://www.amazon.com/BEAKEY-Premium-Synthetic-Foundation-Eyeshadow/dp/B01F36JBDM/ref=sr_1_59?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-59"
"","","56","Honeybee Gardens Eco Friendly Professional Cosmetic Brush Set | Cruelty Free | Sustainable Bamboo Handles | Professional Quality","Honeybee Gardens","$24.99","12","0","$300","09/23/2013","$17.7","23","4.4","$7.29","319891","Beauty & Personal Care","B00F2FA4ZO","https://www.amazon.com/Honeybee-Gardens-Friendly-Professional-Sustainable/dp/B00F2FA4ZO/ref=sr_1_60?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-60"
"","","57","EmaxDesign 20 Pieces Makeup Brush Set Professional Face Eye Shadow Eyeliner Foundation Blush Lip Makeup Brushes Powder Liquid Cream Cosmetics Blending Brush Tool","EmaxDesign","$7.99","696","16","$5561","06/26/2016","$3.81","10898","4.4","$4.18","30274","Beauty & Personal Care","B01EWBYUDU","https://www.amazon.com/EmaxDesign-Professional-Eyeliner-Foundation-Cosmetics/dp/B01EWBYUDU/ref=sr_1_61?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-61"
"","","58","Enther & LaFeel Makeup Brush Set Premium Cosmetic Wood Handle Brushes 12pcs for Foundation Blending Blush Concealer Eye Shadow Cruely-Free Synthetic Fiber Bristles Blue Collection","Enther","$11.99","410","3","$4916","10/30/2021","$6.65","146","4.6","$5.34","92502","Beauty & Personal Care","B098SCZ762","https://www.amazon.com/Enther-Foundation-Cruely-Free-Blue-Collection/dp/B098SCZ762/ref=sr_1_62?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-62"
"","","59","DUcare Professional Makeup Brushes Set 32Pcs Make up Brushes Premium Synthetic Kabuki Foundation Blending Brush Face Powder Blush Concealers Eye Shadows","DUcare","$33.99","1133","25","$38511","07/30/2018","$23.75","1209","4.7","$10.24","21058","Beauty & Personal Care","B08C59SYBL","https://www.amazon.com/DUcare-Professional-Christmas-Foundation-Concealers/dp/B08C59SYBL/ref=sr_1_63?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-63"
"","","60","Makeup Brushes Ready in 7 Face Eye Uncomplicated Set with Eco Carton Cylinder 2 Cup Box for Powder Concealer Highlighter Foundation Liner Eye Shadow - Cruelty Free Synthetic Bristle - Vegan (Fresher)","EIGSHOW","$28.99","30","1","$870","06/02/2021","$20.87","55","4.8","$8.12","209734","Beauty & Personal Care","B08TBJWGTQ","https://www.amazon.com/Uncomplicated-Cylinder-Concealer-Highlighter-Foundation/dp/B08TBJWGTQ/ref=sr_1_64?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-64"
"","","61","Jessup Vegan Makeup Brushes Set Premium Eco-friendly Synthetic Powder Foundation Highlight Concealer Eyeshadow Blending Eyebrow Liner Spoolie Brush Set Burlywood 12pcs T327","Jessup","$19.48","78","1","$1519","03/20/2022","$13.02","26","4.7","$6.46","171454","Beauty & Personal Care","B07VLYHLQT","https://www.amazon.com/Jessup-Eco-friendly-Synthetic-Foundation-Highlight/dp/B07VLYHLQT/ref=sr_1_65?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-65"
