"Export time: 8/6/2022, 8:45:40 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","56","Chunky Glitter for Resin Thrilez 18 Colors Holographic Chunky Glitter Sequins Craft Glitter Powder Tumbler Glitter for Resin Decoration Nail Art Slime (0.35oz/Pack)","Thrilez","$13.99","310","10","$4337","11/26/2020","$8.82","498","4.8","$5.17","16781","Arts Crafts & Sewing","B08P6GHYD8","https://www.amazon.com/dp/B08P6GHYD8"
"","","57","COKOHAPPY Holographic Chunky Glitter Total 80g Body Nail Face Cosmetic Hexagon Chunky Holographic Glitter for Resin Accessories (Mermaid)","COKOHAPPY","$8.99","295","9","$2652","04/24/2019","$4.73","2378","4.6","$4.26","61411","Beauty & Personal Care","B07KLW9LCH","https://www.amazon.com/dp/B07KLW9LCH"
"","","58","Unicorn Snot Biodegradable Holographic Body Glitter Gel for Body Face Hair - Vegan & Cruelty Free - 1.7 oz (Bio Galaxy)","UNICORN SNOT","$14.99","6248","208","$93658","07/10/2019","...","5878","4.5","","1946","Beauty & Personal Care","B07V5QVZPS","https://www.amazon.com/dp/B07V5QVZPS"
"","","59","BAZIC Glitter Shaker 6 Neon Color Sparkling Powder for Kids Slime Paints Crafts Nail Art Polish Skin Halloween Party (12g/Pack) 1-Pack","BAZIC Products","$3.69","81","2","$299","12/15/2019","$0.22","16","4","$3.47","46720","Arts Crafts & Sewing","B07WTQ7LSK","https://www.amazon.com/dp/B07WTQ7LSK"
"","","60","Glitter","Abbi Glines","$4.99","4","0","$20","06/12/2021","...","509","4.5","","381836","Kindle Store","B097633M2C","https://www.amazon.com/dp/B097633M2C"
"","","61","2022 Body Glitter Body Spray for Women - [60ML] - Fairy Body Glitter Spray for Hair and Body - Glitter Hairspray for Club Prom Party Photoshoot etc. (1PC)","Generic","$8.98","150","5","$1347","07/06/2022","...","0","","","53971","Beauty & Personal Care","B0B611VH4J","https://www.amazon.com/dp/B0B611VH4J"
"","","62","TABLECLOTHSFACTORY 1 Pound Gold DIY Art & Craft Glitter Extra Fine with Shaker Bottle for Wedding Party Event Table Centerpieces Decor","TABLECLOTHSFACTORY.COM","$8.99","930","31","$8361","02/24/2020","...","58","4.5","","33512","Home & Kitchen","B07W4GM1PQ","https://www.amazon.com/dp/B07W4GM1PQ"
"","","63","Holographic Fine Glitter 150g Multipurpose Gold Extra Fine Craft Glitter for Resin Arts and Crafts Body Nail Art Eye Face Hair Holographic Glitter for Epoxy Tumbler Slime Making (Gold)","Estanoite","$9.99","690","23","$6893","01/05/2021","$5.65","693","4.7","$4.34","5533","Arts Crafts & Sewing","B08RYV25WW","https://www.amazon.com/dp/B08RYV25WW"
"","","64","Chunky and Fine Glitter Mix Estanoite 36 Colors Chunky Sequins & Fine Glitter Powder Mix Iridescent Glitter Flakes Cosmetic Makeup Glitter for Face Body Eye Nail Art Loose Glitter for Resin Epoxy","Estanoite","$12.99","141","4","$1832","07/08/2021","$7.27","107","4.5","$5.72","85366","Beauty & Personal Care","B0991GYC3L","https://www.amazon.com/dp/B0991GYC3L"
"","","65","Holographic Body Glitter TEOYALL Long Lasting Glitter Shimmer Chunky Sequins Glitters for Body Face Hair Makeup (Pink)","TEOYALL","$4.99","555","18","$2769","09/26/2021","$1.05","138","4.5","$3.94","22278","Beauty & Personal Care","B09DYMTF21","https://www.amazon.com/dp/B09DYMTF21"
"","","66","24 Boxes Glow in The Dark Body Face Glitter Makeup Chunky Glitter Holographic High Luminous Cosmetic Iridescent Festival Accessories Party Face Glitter for Nail Hair Eye Lip Resin (Classic Style)","Loopeer","$16.59","60","2","$995","05/24/2022","$11.18","1","1","$5.41","95433","Beauty & Personal Care","B0B2JQQQSL","https://www.amazon.com/dp/B0B2JQQQSL"
"","","67","Body Glitter Holographic Glitter Liquid for Festival Make UpFace Glitter Sequins Chunky for Hair and Eyeshadow Long-Lasting No Glue Needed and Easy to Remove.","Alyxxndra","$17.99","235","7","$4228","08/13/2021","$11.52","90","4.7","$6.47","58443","Beauty & Personal Care","B098QH3NJK","https://www.amazon.com/dp/B098QH3NJK"
"","","68","6 Box Nail Sequins Fine GlitterSugar Glitter for Nails Cosmetic Holographic Nail Glitters for Acrylic Nails Nail Glitter Flakes for Resin Chunky Nail Glitter Acrylic(Pattern 4)","CHARMING MAY","$10.99","195","6","$2143","12/31/2021","$6.42","10","4.8","$4.57","60345","Beauty & Personal Care","B09XBKJPML","https://www.amazon.com/dp/B09XBKJPML"
"","","69","Fine Glitter YGDZ 140G 4.93OZ Holographic Ultra Fine Glitter Powder for Resin Crafts Tumblers Cosmetic Nail Face Body Painting Hair Glitter Black","YGDZ","$9.99","150","5","$1499","06/07/2022","$4.72","11","5","$5.27","22988","Arts Crafts & Sewing","B0B3J7XJK6","https://www.amazon.com/dp/B0B3J7XJK6"
"","","70","24 Boxes Holographic Chunky Glitter FANDAMEI 24 Colors 10g Nail Art Glitter Sequins Iridescent Glitter Flakes for Nail Eye Body Face Hair. Cosmetic Glitter for Festival Halloween Makeup","Fandamei","$9.99","91","3","$909","08/30/2020","$5.42","287","4.7","$4.57","111786","Beauty & Personal Care","B08H1Z1LNK","https://www.amazon.com/dp/B08H1Z1LNK"
"","","71","Shimmering Spray Powder Sparkle Powder Body Glitter Face High Gloss Spray Highlighter Loose Powder Makeup Spray for Women Hair Nails Makeup( 1Pearl White)","Kaynest","$8.99","1339","44","$12038","05/12/2021","$4.73","577","4.2","$4.26","11761","Beauty & Personal Care","B094W8J52J","https://www.amazon.com/dp/B094W8J52J"
"","","72","Amazon Basics Portable Foldable Photo Studio Box with LED Light - 25 x 30 x 25 Inches","Amazon Basics","$105.99","","","","10/10/2018","$81.73","3665","4.6","$24.26","5","Photo Background Shooting Tents","B01GIL6EU4","https://www.amazon.com/dp/B01GIL6EU4"
"","","73","CkFyahp Glitter Spray 2 Pcs Body and Hair Spray Shimmer Sparkle Pearl Powder Silver Face Hairspray Cosmetic Highlighter Eyeshadow for Girls Women Festival Party Makeup Decoration White and Champagne","CkFyahp","$14.29","...","...","...","06/23/2022","$8.61","0","","$5.68","144200","...","B0B14YHR9L","https://www.amazon.com/dp/B0B14YHR9L"
"","","74","Fine Glitter YGDZ 300g 60 Colors Extra Fine Resin Glitter Packs Arts Craft Glitter for Tumblers Festival Decoration Eyeshadow Makeup Nail Art Body Face Glitter 5g Each Bag","YGDZ","$10.99","588","19","$6462","07/06/2020","$6.27","2080","4.6","$4.72","10361","Arts Crafts & Sewing","B08CGMZKGB","https://www.amazon.com/dp/B08CGMZKGB"
"","","75","Renfio 1.75 Oz 50g Holographic Mickey Mouse Confetti Glitter Mickey Mouses Shape Shiny Sequin Glitters Resin Sparkle Chunky Sequins for DIY Mold Art Nail Artwork Holiday Decoration - Laser Silver","Renfio","$11.99","424","14","$5084","07/11/2021","$7.27","258","4.8","$4.72","11122","Arts Crafts & Sewing","B0995W1S86","https://www.amazon.com/dp/B0995W1S86"
"","","76","3 Pack HANDAIYAN Holographic Body Glitter Gel Nail Hair Body Face Eye Shadow Mermaid Sequins Chunky Glitter Festival Glitter Makeup for Body Face Hair Makeup (SetB)","BAISEN DIARY","$9.99","193","6","$1928","05/28/2022","$5.65","2","5","$4.34","60914","Beauty & Personal Care","B0B2P6YDXV","https://www.amazon.com/dp/B0B2P6YDXV"
