,product_name,brand,price,monthly_sales,daily_sales,monthly_revenue,date_first_available,net,rating_number,rating,fees,product_rank,category,asin,link
1385,VVStudio Makeup Brush Set 11 Pcs Bamboo Brush Set Foundation Powder Blending Concealer Eye Shadows Cosmetics Brushes with Organizer Canva Pouche,Generic,6.99,30.0,1.0,210.0,12/21/2021,2.89,1,3.0,4.1,212924.0,Beauty & Personal Care,B09LK4DS1D,https://www.amazon.com/VVStudio-Foundation-Concealer-Cosmetics-Organizer/dp/B09LK4DS1D/ref=sr_1_105?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-105
1386,DUcare Makeup Brushes Professional 27Pcs Makeup Brush Set Premium Synthetic Kabuki Foundation Blending Face Powder Blush Concealers Eye Shadows Brushes,DUcare,29.99,495.0,9.0,14845.0,09/24/2018,20.97,2284,4.7,9.02,44853.0,Beauty & Personal Care,B07H2WR5VV,https://www.amazon.com/DUcare-Professional-Synthetic-Foundation-Blending/dp/B07H2WR5VV/ref=sr_1_106?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-106
1387,Makeup Brushes 15PCs Makeup Brush Set with 3PCs Makeup Sponge Soft Synthetic Hair Face Make Up Brush Tools for Foundation Powder Eyeshadow Eyebrow Eyeliner Blending (Blue),111,9.99,1358.0,59.0,13566.0,06/24/2021,5.42,1204,4.6,4.57,9511.0,Beauty & Personal Care,B0924JS3YG,https://www.amazon.com/Synthetic-Foundation-Eyeshadow-Eyeliner-Blending/dp/B0924JS3YG/ref=sr_1_107?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-107
1388,Wild Universe Professional Makeup Brushes 12 Pcs Premium & Synthetic Kabuki Foundation Powder Blush Face Blending Concealer Eyeshadow Brush set with 1 Gift Case Black Meteorite Series Vegan & Cruelty-Free,Wild Universe,17.99,54.0,1.0,971.0,10/29/2021,11.52,87,4.4,6.47,202586.0,Beauty & Personal Care,B09J15CXV4,https://www.amazon.com/Wild-Universe-Professional-Foundation-Cruelty-Free/dp/B09J15CXV4/ref=sr_1_108?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-108
1389,Molain Mini Makeup Brush Set 4 in 1 Portable Travel Lip Brush Highlight Brush Eyeshadow Brush Foundation Blending Powder Brush Retractable Facial Cosmetic Makeup Brush Set (Black),Molain,7.88,30.0,1.0,236.0,12/30/2021,3.71,31,4.5,4.17,160214.0,Beauty & Personal Care,B09NKP7B88,https://www.amazon.com/Molain-Highlight-Eyeshadow-Foundation-Retractable/dp/B09NKP7B88/ref=sr_1_109?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-109
1390,BS-MALL Makeup Brush Set 15 Pcs Wooden Eyeshadow Lip Foundation Makeup Brush Set,BS-MALL,8.99,110.0,3.0,989.0,10/26/2017,4.5,2353,4.5,4.49,96966.0,Beauty & Personal Care,B071HGQSPB,https://www.amazon.com/BS-MALL-Makeup-Wooden-Eyeshadow-Foundation/dp/B071HGQSPB/ref=sr_1_110?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-110
1391,2 Sets Small Makeup Brush Set 4 in 1 Makeup Brush Portable Travel Lip Brush Foundation Blending Powder Brush Retractable Mini Facial Cosmetic Makeup Brush Set (Black White),Geiserailie,11.99,117.0,3.0,1403.0,06/06/2021,6.42,157,4.2,5.57,88474.0,Beauty & Personal Care,B095P3S9W2,https://www.amazon.com/Portable-Foundation-Blending-Retractable-Cosmetic/dp/B095P3S9W2/ref=sr_1_111?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-111
1392,Jessup Professional Makeup Brush Set Premium Synthetic Face Eye Labeled Wood Vegan Cosmetic Tool Gold 30pcs T400,Jessup,49.91,30.0,1.0,1497.0,01/09/2019,37.9,146,4.6,12.01,211482.0,Beauty & Personal Care,B07W1ZHD63,https://www.amazon.com/Jessup-Professional-Premium-Synthetic-Cosmetic/dp/B07W1ZHD63/ref=sr_1_112?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-112
1393,ATHENACOSM Professional Makeup Brushes Set Premium Synthetic Bristles Foundation PowderConcealersEye ShadowsBlush7Pcs Cosmetic Brushes Set Gift Box Champagne Gold,ATHENACOSM,8.99,30.0,1.0,270.0,11/27/2021,4.73,2,5.0,4.26,206701.0,Beauty & Personal Care,B09FX7R295,https://www.amazon.com/dp/B09FX7R295
1394,CINIDY 20 pcs Makeup Brush Set tools Make-up Toiletry Kit Wool Make Up Brush Set (Black),CINIDY,5.99,2732.0,60.0,16365.0,10/27/2016,6.26,21957,4.3,5.22,9321.0,Beauty & Personal Care,B01FWDIJHK,https://www.amazon.com/Cinidy-Makeup-Brush-Make-up-Toiletry/dp/B01FWDIJHK/ref=sr_1_114?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-114
