"Export time: 8/6/2022, 12:04:18 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","131","NYX PROFESSIONAL MAKEUP Marshmellow Blender Sponge 1 Count (Pack of 1)","NYX PROFESSIONAL MAKEUP","$7.49","3986","132","$29855","01/17/2021","$3.35","5017","4.4","$4.14","68519","Beauty & Personal Care","B08M5D8YM5","https://www.amazon.com/dp/B08M5D8YM5"
"","","132","EXTRA LARGE XL Make Up Beauty Sponges Blender11cm 2 packs Makeup Beauty Sponges (1 Orange 1 Purple and 2 Sponge Holder) for Dry & Wet Use for Face Body Blush Cream Foundation","ZerzSemp","$10.59","...","...","...","07/08/2022","$5.46","1","1","$5.13","259476","...","B0B36GMX7S","https://www.amazon.com/dp/B0B36GMX7S"
"","","133","Real Techniques Sponge + Beauty Sponge Blender for Toner with Vegan Collagen Miracle Skincare Sponge For Facial Serums and Moisturizers Purple 1 Count","Real Techniques","$3.49","195","6","$681","07/07/2021","$-0.35","232","3.9","$3.84","20211","Beauty & Personal Care","B097NDCJFN","https://www.amazon.com/dp/B097NDCJFN"
"","","134","Grteark 6 Pcs Makeup Sponge and Round Facial Sponge Two Uses for Removing Dead Skin Dirt and Makeup Foundation Beauty Blender Sponge for Blending Liquid Powders and Creams Liquid Application","Grteark","$8.92","...","...","...","04/08/2022","$4.67","3","4.2","$4.25","186261","...","B09V366MHB","https://www.amazon.com/dp/B09V366MHB"
"","","135","Latex Free Makeup Powder Blender Sponges for Full Face Curve Blending Coverage Cream Liquid Foundation Cosmetics Disposable Beauty Foam Applicator Puffs for Sensitive SkinPentagon","Aturmon","$10.99","66","2","$725","05/22/2020","$6.42","64","4.2","$4.57","119686","Beauty & Personal Care","B0822HRLML","https://www.amazon.com/dp/B0822HRLML"
"","","136","beautyblender Limited Edition DOUBLE DELIGHT Blend & Cleanse Set with Original Pink Blender Liquid Blendercleanser and Silicone Scrub Mat Vegan Cruelty Free and Made in the USA","beautyblender","$24.00","488","16","$11712","12/03/2018","$15.26","85","4.5","$8.74","43447","Beauty & Personal Care","B09HL9FLNF","https://www.amazon.com/dp/B09HL9FLNF"
"","","137","LASSUM 20PCS Round Powder Puff Makeup Sponge Blender For Makeup Application Blending Sponge Puff","LASSUM","$7.69","330","11","$2538","02/07/2020","$4.15","275","4.4","$3.54","34808","Beauty & Personal Care","B07PFPZVFJ","https://www.amazon.com/dp/B07PFPZVFJ"
"","","138","ForPro Expert Beauty Sponge Blender Premium Makeup Sponge Latex-Free 100% Vegan & Cruelty-Free Black","ForPro Professional Collection","$3.79","...","...","...","07/14/2022","...","4","4.1","","200139","...","B0B5VPQ5JP","https://www.amazon.com/dp/B0B5VPQ5JP"
"","","139","Makeup Blender Beauty SpongeBeautypapa Blending Sponge Cosmtics puffFoundation CreamFlawless for LiquidSuit for Concealer Contouring Powder 2 pcs","Beautypapa","$3.49","115","3","$401","05/09/2019","$0.27","1637","4.5","$3.22","69894","Beauty & Personal Care","B07G524ZB3","https://www.amazon.com/dp/B07G524ZB3"
"","","140","1PC Makeup Sponge Blender Latex Free Beauty Foundation Blending Sponge Make Up Applicator Sponges Immaculate for Liquid Cream Powder (Random) Professional and Attractive","U-K","$1.40","30","1","$42","05/18/2022","$-2.44","0","","$3.84","183802","Beauty & Personal Care","B0B1PPGTBM","https://www.amazon.com/dp/B0B1PPGTBM"
"","","141","AIMILIQI Beauty Blender Makeup Sponge - 10 Pcs Makeup Sponge Set with Beauty Foundation Sponge Blender Holder Flawless for Liquid Cream and Powder Multi-Colored Makeup Sponges. (Multicolor)","aimiliqi","$9.99","...","...","...","05/11/2022","...","8","4.1","","85369","...","B0B24K614Z","https://www.amazon.com/dp/B0B24K614Z"
"","","142","PAGOW 20PCS Mini Beauty Makeup Sponge Blender Colourful Pressed Puff Soft Body Pad for Face Cosmetic Foundation Powder Concealer Shadow Under Eyes Highlight Contour Wet Dry Makeup Tool","Pagow","$9.99","...","...","...","...","...","0","","","105120","...","B0B6G3LXXL","https://www.amazon.com/dp/B0B6G3LXXL"
"","","143","BEAKEY 12 Pcs Round Makeup Sponges with Air Cushion Powder Puff Latex-free Blending Sponge and Makeup Puff for Liquid Foundation Cream Powder Concealer (6 Sponges+6 Puffs)","BEAKEY","$7.99","2264","75","$18089","10/24/2018","$3.81","2086","4.3","$4.18","8342","Beauty & Personal Care","B07G4S2YDP","https://www.amazon.com/dp/B07G4S2YDP"
"","","144","Abgream 45pcs Makeup Sponge Blender Set - 39 Pcs Latex-Free Vegan Sponges with 6 Pcs Makeup Blender Holder Beauty Cosmetic Foundation Blending Powder Puff for Liquid Powers BB Cream (Style 2)","Abgream","$18.99","523","17","$9932","09/16/2020","$10.35","597","4.6","$8.64","25791","Beauty & Personal Care","B08C7BN5QF","https://www.amazon.com/dp/B08C7BN5QF"
"","","145","12 Pcs Makeup Sponge Set Blender Foundation Blending Beauty Sponge Flawless for Liquid Cream and Powder Pink Makeup Sponges","MS. WENNY","$9.99","...","...","...","04/13/2022","$5.65","5","4.5","$4.34","114092","...","B09SG4ZHYS","https://www.amazon.com/dp/B09SG4ZHYS"
