"Export time: 8/6/2022, 12:17:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","47","Avery Non-Glare Page-Size Sheet Protectors Pre-Punched For Use With Tab Dividers Top Load 50 Document Protectors (74204)","AVERY","$11.68","113","3","$1320","04/18/2006","$4.79","136","4.4","$6.89","42497","Office Products","B002OGCQM8","https://www.amazon.com/dp/B002OGCQM8"
"","","48","Olivia tree 40 Pack Economy 11 Hole Archival Safe Clear Sheet Protectors Non-Glare Heavyweight Sheet Protectors Reinforced Great Clarity Protection Against Dirt Top Load for 8.5' x 11' (40 Pack)","Olivia tree","$4.89","30","1","$147","05/24/2020","$1.09","27","4.1","$3.80","136934","Office Products","B0895MLR96","https://www.amazon.com/dp/B0895MLR96"
"","","49","Dunwell 8.5x14 Legal Sheet Protectors - (Standard Weight 25 Pack) 7 Hole Punched for 3-Ring Legal Binder or 4 Ring Legal Size Binder","Dunwell","$5.91","246","8","$1454","06/29/2020","$1.95","468","4.6","$3.96","20543","Office Products","B08C2YYT8S","https://www.amazon.com/dp/B08C2YYT8S"
"","","50","Page Protectors 8.5 x 11 Inches Ecovision Crystal Clear Plastic Sheet Protectors for 3 Ring Binder. Top Loading Binder Sheets Paper Protector Letter Size","EcoVision","$15.86","150","5","$2379","06/17/2021","$7.05","111","4.5","$8.81","33618","Office Products","B097GYCNKN","https://www.amazon.com/dp/B097GYCNKN"
"","","51","Sheet Protectors HERKKA 500 Pack Upgrade Clear Plastic Page Protectors Sheet Reinforced 11-Hole Fit for 3 Ring Binder Fits Standard 8.5 x 11 Paper 9.25 x 11.25 Top Loaded Acid Free","HERKKA","$24.99","1007","33","$25165","07/07/2020","$17.7","793","4.6","$7.29","12761","Office Products","B08CK6R3SP","https://www.amazon.com/dp/B08CK6R3SP"
"","","52","Wideskall Economy Weight Clear Poly Sheet Page Protectors Non-Stick 8.5 x 11 - Pack of 20","Wideskall","$6.79","85","2","$577","12/08/2017","...","35","4.5","","51372","Office Products","B0785Z2F11","https://www.amazon.com/dp/B0785Z2F11"
"","","53","Coruscant 500 Sheet Protectors 3 Hole Lightweight Binder Sleeves Protecting Paper File Classification No Acid No PVC Double Sided Transparent 9.25 X 11.25 Top Loaded","coruscant","$24.99","558","18","$13944","11/20/2020","$14.21","618","4.4","$10.78","13913","Office Products","B08HCN2HX5","https://www.amazon.com/dp/B08HCN2HX5"
"","","54","Avery Diamond Clear Secure Side-Load Sheet Protectors Heavyweight 25 Page Protectors (76001)","AVERY","$7.69","202","6","$1553","12/01/2004","$3.47","291","4.7","$4.22","22975","Office Products","B00006IC8G","https://www.amazon.com/dp/B00006IC8G"
"","","55","KTRIO Sheet Protector 8.5 x 11 inch Non-Glare Clear Page Protectors Plastic Sleeves for Binders Paper Protector for 3 Ring Binder Letter Size Top Loading 50 Pack","KTRIO","$5.99","1020","34","$6110","04/25/2020","$2.02","1392","4.7","$3.97","7386","Office Products","B087P9HPRK","https://www.amazon.com/dp/B087P9HPRK"
"","","56","Sheet Protectors | 50 Pack Page Protectors - Sheet Protectors for 3 Ring Binder 8.5 x 11","EXTRIC","$4.80","258","8","$1238","03/09/2022","$0.31","137","4.5","$4.49","19580","Office Products","B09V8Y1T1H","https://www.amazon.com/dp/B09V8Y1T1H"
